label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
sagitarius a*	sagitarius a*	8.54e36	0	8.54e36	0	0	0	0	0
sol	sagitarius a*	1.988475e30	0	2.5540e20					
mercury	sol	0.330103e24	0	57909226500	0.20563593	7.00497902	48.33076593	29.124	174.796
venus	sol	4.86731e24	0	108209474000	0.00677672	3.39467605	76.67984255	54.884	50.115
earth	sol	5.97217e24	0	149598261000	0.01671123	-0.00001531	-11.26064	114.20783	358.617
mars	sol	0.641691e24	0	227943822000	0.09339410	1.84969142	49.55953891	286.5	19.412
jupiter	sol	1898.125e24	0	778340817000	0.04838624	1.30439695	100.47390909	273.867	20.020
saturn	sol	568.317e24	0	1426666410000	0.05386179	2.48599187	113.66242448	339.392	317.020
uranus	sol	86.8099e24	0	2870658170000	0.04725744	0.77263783	74.01692503	96.998857	142.238600
neptune	sol	102.4092e24	0	4498396420000	0.00859048	1.77004347	131.78422574	273.187	259.883
pluto-charon	sol	1.4615761e22	0	5.90638e12	0.2488	17.16	110.299	113.834	14.53
moon	earth	7.3458759e22	0	384400e3	0.0554	5.16	125.08	318.15	135.27
phobos	mars	1.061e16	0	9375e3	0.015	1.1	169.2	216.3	189.7
deimos	mars	1.44e15	0	23457e3	0.000	1.8	54.3	0.0	205.0
io	jupiter	8.92964675e22	0	421800e3	0.004	0.0	0.0	49.1	330.9
europa	jupiter	4.79857270e22	0	671100e3	0.009	0.5	184.0	45.0	345.4
ganymede	jupiter	1.48147828e23	0	1070400e3	0.001	0.2	58.5	198.3	324.8
callisto	jupiter	1.0756606e23	0	1882700e3	0.007	0.3	309.1	43.8	87.4
amalthea	jupiter	2.4655e18	0	181400e3	0.003	0.4	282.9	180.1	310.6
thebe	jupiter	4.517e17	0	221900e3	0.018	1.1	340.4	26.6	182.1
adrastea	jupiter	2.1e15	0	129000e3	0.000	0.0	0.0	0.0	214.5
metis	jupiter	3.7e16	0	128000e3	0.000	0.0	0.0	0.0	166.0
himalia	jupiter	2.2706e18	0	11439000e3	0.160	28.4	64.2	321.1	78.3
