Ceres	Epoch 21 January 2022 (JD 2459600.5)	2.77 au (414 million km)	0.0785	10.6° to ecliptic9.20° to invariable plane[4]	80.3°	73.6°	291.4°
Pallas	Epoch 13 September 2023(JD 2453300.5)	2.77 au (414 million km)	0.2302	34.93°(34.43° to invariable plane)[7]	172.9°	310.9°	40.6
Juno	Epoch 13 September 2023(JD 2453300.5)	2.67 au (399 million km)	0.2562	12.991°	169.84°	247.74°	37.02°
Vesta	Epoch 13 September 2023(JD 2453300.5)	2.36 au (353 million km)	0.0894	7.1422° to ecliptic5.58° to invariable plane[7]	103.71°	151.66°	169.4°
Astraea	Epoch 23 March 2018 (JD 2458200.5)	2.5735 au	0.1914	5.3677°	141.58°	358.75°	186.83°
Hebe	Epoch 13 September 2023(JD 2453300.5)	2.43 au (364 million km)	0.2027	14.736°	138.63°	239.59°	144.0°
Iris	Epoch 13 September 2023(JD 2453300.5)	2.387 au (357.1 million km)	0.22977	5.519°	259.5°	145.4°	207.9°
Flora	Epoch 17.0 October 2024(JD 2460600.5)	2.20 au (329 million km)	0.15658	5.890°	110.85°	285.4°	78.2°
Metis	Epoch 13 September 2023(JD 2460200.5)	2.387 au (357.1 million km)	0.1231	5.577°	68.87°	5.75°	345.43°
Hygiea	Epoch 5 May 2025 (JD 2460800.5)	3.144 au (470 million km)	0.1096	3.832° to ecliptic	283.13°	312.71°	181.38°
Parthenope	Epoch 17.0 October 2024 (JD 2460600.5)	2.45337 au (367.019 gm)	0.09943	4.63153°	125.506°	196.071°	71.503°
Victoria	Epoch 21 November 2025(JD 2461000.5)	2.33384 au	0.21993	8.37403°	235.353°	69.5463°	76.9360°
Egeria	Epoch 17.0 October 2024 (JD 2460600.5)	2.57774 au	0.085403	16.532°	43.208°	79.222°	305.547°
Irene	Epoch 21 November 2025 (JD 2461000.5)	2.588 au	0.163	9.130°	86.010°	98.265°	12.926°
Eunomia	Epoch July 01, 2021 (JD 2459396.5, heliocentric)	2.644 au (395,500,000 km)	0.186	11.75°	293°	99°	206°
Psyche	Epoch 21 November 2025(JD 2461000.5)	2.92 au (437 million km)	0.1343	3.097°	150.0°	229.8°	40.6°
Thetis	Epoch 16 February 2017 (JD 2457800.5)	2.4712 au	0.1325	5.5902°	125.56°	136.10°	100.44°
Melpomene	Epoch 17.0 October 2024(JD 2460600.5)	2.295 au (343.3 million km)	0.21827	10.132°	150.34°	228.05°	113.8711°
Fortuna	Epoch 17.0 October 2024 (JD 2460600.5)	2.441 au (365.235 million km)	0.159	1.573°	211.379°	182.091°	268.398°
Massalia	Epoch 23 March 2018 (JD 2458200.5)	2.4088 au	0.1422	0.7087°	206.11°	256.58°	12.443°
Lutetia	Epoch May 31, 2020 (JD 2459000.5)	2.435 au (364.3 million km)	0.16339	3.064°	80.867°	249.997°	87.976°
Kalliope	Epoch 23 July 2010 (JD 2455400.5)	435.09 million km (2.9112 au)	0.10213	13.703°	66.17°	355.03°	282.54°
Thalia	Epoch 14 June 2006 (JD 2453900.5)	393.073 million km (2.628 au)	0.233	10.145°	67.228°	59.311°	328.687°
Themis	Epoch 17.0 October 2024 (JD 2460600.5)	470.2 million km(3.143 au)	0.1153	0.7368°	36.39°	109.0°	346.1°
Phocaea	Epoch 4 September 2017 (JD 2458000.5)	2.4001 au	0.2543	21.606°	214.14°	90.245°	13.891°
Proserpina	Epoch 21 November 2025 (JD 2461000.5)	2.655 au	0.089	3.555°	45.685°	196.057°	289.591°
Euterpe	Epoch 4 September 2017 (JD 2458000.5)	2.3463 au	0.1731	1.5837°	94.789°	356.55°	170.66°
Bellona	Epoch 21 November 2025 (JD 2461000.5)	2.777 au	0.149	9.432°	144.151°	343.462°	65.459°
Amphitrite	Epoch 17.0 October 2024 (JD 2460600.5)	2.5544 au	0.0736	6.0772°	356.26°	62.01°	48.40°
Urania	Epoch 17.0 October 2024 (JD 2460600.5)	353.951 gm (2.366 au)	0.127	2.093°	307.403°	87.100°	211.291°
Euphrosyne	Epoch April 27, 2019 (JD 2458600.5)	3.1554 au(472.041 million km)	0.2209	26.3033°	31.1186°	61.4704°	87.1671°
Pomona	Epoch 21 November 2025 (JD 2461000.5)	2.588 au	0.081	5.521°	220.357°	337.859°	242.006°
Polyhymnia	Epoch 21 November 2025 (JD 2461000.5)	2.874 au	0.333	1.852°	8.212°	338.828°	107.070°
Circe	Epoch 21 November 2025 (JD 2461000.5)	2.688 au	0.107	5.496°	184.294°	329.414°	305.209°
Leukothea	Epoch 21 November 2025 (JD 2461000.5)	3.006 au	0.217	7.866°	352.910°	215.440°	309.117°
Atalante	Epoch December 31, 2006 (JD 2454100.5)	410.921 million km (2.747 au)	0.303	18.432°	358.472°	47.132°	47.005°
Fides	Epoch February 25, 2023 (JD 2460000.5)	395.419 million km (2.643 au)	0.176	3.071°	7.267°	62.327°	303.436°
Leda	Epoch December 31, 2006 (JD 2454100.5)	410.409 million km (2.743 au)	0.152	6.955°	295.890°	168.804°	107.567°
Laetitia	Epoch 31 December 2006 (JD 2454100.5)	414.190 million km (2.769 au)	0.114	10.383°	157.168°	209.560°	58.261°
Harmonia	Epoch December 31, 2006 (JD 2454100.5)	339.279 million km (2.268 au)	0.046	4.256°	94.287°	268.988°	249.120°
Daphne	Epoch 31 December 2006 (JD 2454100.5)	2.765 au (413.682 million km)	0.272	15.765°	178.159°	46.239°	247.500°
Isis	Epoch 31 December 2006 (JD 2454100.5)	365.298 million km (2.442 au)	0.223	8.530°	84.398°	236.626°	121.874°
Ariadne	Epoch 26 November 2005 (JD 2453700.5)	329.646 million km (2.204 au)	0.168	3.464°	264.937°	15.948°	101.582°
