Ceres	9.074170±0.000001 h[2]		≈4°[10]		66.76033°[12]		
Pallas		7.8132 h[14]	84°±5°[10]			−16°±5°[10]	30°±5°[10]
Juno		7.21 hr[3] (0.3004 d)[8]				103° ± 5°[9]	27° ± 5°[9]
Vesta		0.2226 d (5.342 h)[6][13]	29°		48°[d]		
Astraea		0.700 04 d (16.801 h)[7]			55° ± 5°		
Hebe		7.274 h[6]: 349				339°	45°
Iris		7.138843 h (0.2974518 d)[1]					
Flora		12.865 h (0.5360 d)[1]					
Metis		0.2116 d (5.079 h)[2]					
Hygiea	13.82559±0.00005 h[6]: 136 [5]: 18		120° to ecliptic[5]: 18		−46°±3°[6]: 136	306°±3°[5]: 18	−29°±3°[5]: 18
Parthenope		13.7204 h (0.57168 d)[3]13.72204±0.00001 h[4]	73°[4]			312°±2°[4]	17°±4°[4]
Victoria		8.6599 h (0.36083 d)[2]8.660345±0.000005 h[3]	110°[3]			177°±2°[3]	−27°±3°[3]
Egeria		7.045 h[3]7.046664±0.000003 h[5]	59°[5]			38°±5°[5]	31°±5°[5]
Irene		0.6275 d (15.06 h)[2][5]					
Eunomia		6.083 h (0.2535 d)[3]					
Psyche		4.195948±0.000001 h[5][6]					
Thetis		12.27048±0.00001[10][11]					
Melpomene		11.57 h (0.48 d)[3]11.570306±0.000005 h[7]11.573 h (0.48 d)[8]	64°[7]			12°±2°[7]	19°±2°[7]
Fortuna		7.4432 h (0.3101 d)[2]7.443224±0.000001 h[4]	29°[4]			103°±3°[4]	60°±3°[4]
Massalia		8.098 h[11]					
Lutetia		0.3402 d (8.1655 h)[2]	96°[3]		+10.8 ± 0.4°[3]		
Kalliope		0.17285 days (4.1483 h)[2]					
Thalia		12.312 h[2]					
Themis		0.34892 d (8 h 22 min)[4]8.374187±0.000001 h[5]	18°[5]			146°±3°[5]	73°±3°[5]
Phocaea		9.9341±0.0002 h[10]					
Proserpina		13.11 h[3][5]					
Euterpe		8.500 h[4]10.377±0.008 h[12]10.40193±0.00005 h[13]10.404±0.001 h[4]10.407±0.002 h[14]10.4082±0.0001 h[15]10.410±0.002 h[16][17][a]10.41 h[18]					
Bellona		15.706 h[2][5]					
Amphitrite		5.3921 h[14][6][4]5.390119 ± 0.000001 h[8]	116°[8]			323°±2°[8]	−29°±2°[8]
Urania		13.686 h (0.5703 d)[6][3]	72°[4]			106°±2°[4]	19°±2°[4]
Euphrosyne		0.230400 d (5.529595 h)[4]					
Pomona		0.3937 d (9.448 h)[2]					
Polyhymnia		18.60888±0.00029 h[7]					
Circe		0.5063 d (12.15 h) [3]					
Leukothea		31.900[4] h					
Atalante		0.414 d (9.93 h)[1]					
Fides		0.3055 d (7.334 h)[4]					
Leda		0.5350 d (12.84 h) [2]					
Laetitia		0.2141 d (5.138 h)[2][5]					
Harmonia		0.3712 d (8.909 h)[4]					
Daphne		5.988 hr[1]					
Isis		13.59701 h[4]					
Ariadne		0.2401 d[6]					
Nysa		6.421417 ± 0.000001[7]				98 ± 2°[7]	+58 ± 3°[7]
Eugenia	0.2375 d (5.699 h)[10]		117±10°			124±10°	−30±10°[6]
Hestia		21.04[5] h					
Aglaja		13.175[5] h					
Doris		11.89 h[3]					
Pales		20.7057±0.0002 h[6]20.705±0.002 h[7]20.704±0.001 h[8]					
Virginia		14.31 h[3]					
Nemausa		7.783 h[5]					
Europa		5.6304 h[2]					
Kalypso		9.036[6] h					
Alexandra		18.14 h[4]				17°±3°[5]	155°±4°[5]
Pandora		4.804 h[3]					
Melete		18.1 hr[2]					
Mnemosyne		25.324±0.002 h[3]					
Concordia		9.895±0.001 h[3]					
Elpis		13.69 h[3]					
Echo		25.2 hr[1]					
Danae		11.45 h[13]11.547±0.001 h[14]					
Erato		5.675±0.001 h[4] or 9.2213±0.0007 h[5]					
Ausonia		9.282±0.003 h[14]9.29 h[15]9.293±0.001 h[16]9.294 h[17]9.29757 h[18]9.29758 h[19]9.29759 h[10][20]9.29766 h[21]9.298 h[22]9.299 h[23]					
Angelina		8.752 hr[2] (0.365 d)					
Cybele		3.98704 h[7]4.036 h[8]4.04 h[9]4.04052 h[10][11]6.07 h[12]6.07 h[13]6.08±0.05 h[14]6.081±0.001 h[a]6.0814±0.0001 h[15]6.081434±0.000005 h[16]6.082±0.001 h[17]					
Maja		9.733 h[13][14]9.73509±0.00005 h[15]9.73570±0.00005 h[16]9.736±0.009 h[17]9.74±0.05 h[15]9.761±0.03 h[18]					
Asia		15.89 hours					
Leto		14.848 h (0.6187 d)					
Hesperia		5.655 h[4]					
Panopaea		15.87 ± 0.04 hours[7]					
Niobe		11 h[12]11.21 h[13]14.34±0.05 h[14]14.34 h[15][14]14.38±0.02 h[16]35.5±0.1 h[17][a]35.617948 h[9]35.81±0.01 h[18]35.8521±0.0005 h[19]35.864±0.002 h[20]					
Feronia		8.09068 h[4]				−39 or −55[4]	287 or 102[4]
Klytia		8.283065[3] h					
Galatea		17.270[4] h					
