Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 41.73      1.74     1.74 14407200     0.00     0.00  Projection::grid_id
 15.59      2.39     0.65 14850676     0.00     0.00  Projection::standardize
 12.23      2.90     0.51      801     0.64     0.64  CrustSummarization
 10.07      3.32     0.42 76775856     0.00     0.00  cartesian_from_zlon
  5.04      3.53     0.21                             main
  4.80      3.73     0.20      800     0.25     2.15  iterated::Index
  4.08      3.90     0.17 14850676     0.00     0.00  Indexing::memory_id
  1.20      3.95     0.05  1579952     0.00     0.00  Projection::sphere_position 
  1.08      4.00     0.04 58664252     0.00     0.00  glm::min(int,int)
  0.96      4.04     0.04 29849852     0.00     0.00  int glm::max<int>(int, int)
  0.72      4.07     0.03        8     3.75    15.14  VectorCalculusByFundamentalTheorem::gradient(bools)
  0.72      4.09     0.03                             _init
  0.48      4.12     0.02   288000     0.00     0.00  std::_Bit_const_iterator[](long) 
  0.48      4.13     0.02    99000     0.00     0.00  ValueNoise
  0.24      4.14     0.01 31190400     0.00     0.00  glm::min(float,float)
  0.24      4.16     0.01 29701352     0.00     0.00  glm::abs(float)
  0.24      4.17     0.01        1    10.00    31.14  FormationGeneration
  0.12      4.17     0.01 31190400     0.00     0.00  float glm::max<float>(float, float)
  0.00      4.17     0.00  2673000     0.00     0.00  std::floor(float)
  0.00      4.17     0.00  2376000     0.00     0.00  glm::abs(int)
  0.00      4.17     0.00   297000     0.00     0.00  Grid::arrow_dual_length 
  0.00      4.17     0.00   144000     0.00     0.00  std::_Bit_iterator[](long) 
  0.00      4.17     0.00    81000     0.00     0.00  glm::length(vec3)
  0.00      4.17     0.00    72000     0.00     0.00  glm::cross(vec3)
  0.00      4.17     0.00    27000     0.00     0.00  VertexDownsamplingIds
  0.00      4.17     0.00    18000     0.00     0.00  rock::MineralStore::pack(rock::Mineral &)
  0.00      4.17     0.00    11250     0.00     0.00  Grid::vertex_dual_area 
  0.00      4.17     0.00     9002     0.00     0.00  Voronoi::sphere_position 
  0.00      4.17     0.00     9002     0.00     0.00  Indexing::grid_id 
  0.00      4.17     0.00     9000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
  0.00      4.17     0.00     9000     0.00     0.00  rock::StratumForAreaAndElevation<relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<0, 0, 1, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<-2, 1, 0, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, double, 0, 1> >()(si::units<2, 0, 0, 0, 0, 0, 0, double>, si::units<1, 0, 0, 0, 0, 0, 0, double>) 
  0.00      4.17     0.00     4828     0.00     0.00  glm::normalize(vec3)
  0.00      4.17     0.00     3341     0.00     0.00  void unlayered::NeighborBasedFloodFilling<int, float, rock::CrustIsUnfractured<float, (glm::qualifier)0>, rock::CrustDistancePriority<float, (glm::qualifier)0> >::advance<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<vec3, std::allocator<vec3 > >, std::vector<bool, std::allocator<bool> > >(dymaxion::GridCache<int, float, (glm::qualifier)0> &, std::vector<vec3, std::allocator<vec3 > > &, std::vector<bool, std::allocator<bool> >&, unlayered::FloodFillState<int, float>&) 
  0.00      4.17     0.00     1606     0.00     0.00  std::_Vector_base<vec3, std::allocator<vec3 > >::~_Vector_base()
  0.00      4.17     0.00     1601     0.00     0.00  std::vector<vec3, std::allocator<vec3 > >::vector(std::vector<vec3, std::allocator<vec3 > > &)
  0.00      4.17     0.00     1600     0.00     0.00  bool iterated::compatible<procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > >, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > >(procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > > &, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&)
  0.00      4.17     0.00     1204     0.00     0.00  glm::rotate
