Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  3.27      2.69     2.69 309755549     0.00     0.00  vec3 glm::operator*<float, (glm::qualifier)0>(vec3 &, vec3 &)
  2.93      5.10     2.41 250507968     0.00     0.00  cartesian_from_zlon
  2.63      7.26     2.17 121900096     0.00     0.00  mat3 multiplication
  2.55      9.37     2.10 144180000     0.00     0.00  rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > >(int, si::units<2, 0, 0, 0, 0, 0, 0, float>, rock::StratumStore<2> &) 
  2.54     11.46     2.09 57607200     0.00     0.00  Projection::grid_id
  2.28     13.34     1.88 1106676087     0.00     0.00  vec3[int] 
  2.13     15.09     1.75 836028000     0.00     0.00  si multiplication
  2.02     16.75     1.66 201816000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
  2.00     18.39     1.65 1097176584     0.00     0.00  mat3[int] 
  1.96     20.01     1.61 243814832     0.00     0.00  dymaxion::Squares<int, float, (glm::qualifier)0>::westmost(int) 
  1.89     21.57     1.56 1032505222     0.00     0.00  vec3::vec(float, float, float)
  1.82     23.07     1.50 836028000     0.00     0.00  si multiplication
  1.71     24.48     1.41 614268000     0.00     0.00  rock::StratumSummary::StratumSummary(rock::StratumSummary &)
  1.66     25.85     1.37 782644065     0.00     0.00  si multiplication
  1.58     27.16     1.30 345996000     0.00     0.00  rock::StratumSummary::StratumSummary(std::bitset<8ul>, si::units<-3, 1, 0, 0, 0, 0, 0, float>, si::units<1, 0, 0, 0, 0, 0, 0, float>)
  1.52     28.41     1.25 1128640071     0.00     0.00  si::units<1, 0, 0, 0, 0, 0, 0, float>::units(float)
  1.41     29.57     1.17 176960828     0.00     0.00  glm::detail::functor2<glm::vec, 2, int, (glm::qualifier)0>::call(int (*)(int, int), ivec2 &, ivec2 &)
  1.40     30.73     1.15 300251549     0.00     0.00  glm::dot(vec3)
  1.32     31.82     1.09 1066716000     0.00     0.00  si::units<-3, 1, 0, 0, 0, 0, 0, float>::units(float)
  1.27     32.87     1.05 836028000     0.00     0.00  StratumSummary::density
  1.26     33.91     1.04 609592065     0.00     0.00  rock::StratumSummary::thickness() 
  1.22     34.91     1.00 372417476     0.00     0.00  math::residue(int,int)
  1.22     35.91     1.00 201780000     0.00     0.00  rock::ColumnSummaryOps::absorb(rock::ColumnSummary &, rock::StratumSummary &) 
  1.20     36.91     0.99 368673476     0.00     0.00  math::modulus(int,int)
  1.20     37.90     0.99 368673476     0.00     0.00  auto math::residue<double, int>(double &, int &)
  1.17     38.86     0.96 201816001     0.00     0.00  si::units<1, 0, 0, 0, 0, 0, 0, float>::operator+(si::units<1, 0, 0, 0, 0, 0, 0, float>) 
  1.17     39.82     0.96 403632000     0.00     0.00  si::units<(-3)+(1), (1)+(0), (0)+(0), (0)+(0), (0)+(0), (0)+(0), (0)+(0), float> si::units<-3, 1, 0, 0, 0, 0, 0, float>::operator*<1, 0, 0, 0, 0, 0, 0>(si::units<1, 0, 0, 0, 0, 0, 0, float>) 
  1.17     40.78     0.96 115214400     0.00     0.00  glm::detail::functor2<glm::vec, 2, float, (glm::qualifier)0>::call(float (*)(float, float), vec2 &, vec2 &)
  1.15     41.73     0.95 753844065     0.00     0.00  auto si::operator*<1, 0, 0, 0, 0, 0, 0, float, float>(float, si::units<1, 0, 0, 0, 0, 0, 0, float>)
  1.15     42.67     0.94 132223644     0.00     0.00  vec3 glm::operator*<float, (glm::qualifier)0>(vec3 &, float)
  1.10     43.59     0.91 115706448     0.00     0.00  glm::cross(vec3)
  0.82     44.26     0.68 1106770863     0.00     0.00  vec3::length()
  0.76     44.89     0.63 144180000     0.00     0.00  StratumStore::mass
  0.73     45.49     0.60 605448000     0.00     0.00  si::units<-2, 1, 0, 0, 0, 0, 0, float>::units(float)
  0.67     46.04     0.55 57607200     0.00     0.00  vec3 glm::operator/<float, (glm::qualifier)0>(vec3 &, float)
  0.61     46.55     0.51 57852000     0.00     0.00  Railyard invocation
  0.59     47.03     0.48 345996000     0.00     0.00  unsigned int & std::min<unsigned int>(unsigned int &, unsigned int &)
  0.56     47.49     0.47 57607200     0.00     0.00  vec3::xy() 
  0.53     47.94     0.44 346032000     0.00     0.00  si::units<0, 1, 0, 0, 0, 0, 0, float>::operator+=(si::units<0, 1, 0, 0, 0, 0, 0, float>)
  0.53     48.38     0.44 201780000     0.00     0.00  rock::ColumnSummary::ColumnSummary(rock::StratumSummary, rock::StratumSummary)
  0.53     48.81     0.44 59676814     0.00     0.00  Point::clamp
  0.53     49.26     0.44 57607200     0.00     0.00  dymaxion::Point<int, int, (glm::qualifier)0> dymaxion::min<int, int, (glm::qualifier)0>(dymaxion::Point<int, int, (glm::qualifier)0> &, int)
  0.53     49.70     0.44     4005     0.00     0.00  void rock::FormationSummarization<rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > > ><dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > > >(dymaxion::GridCache<int, float, (glm::qualifier)0> &, int, std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > > &, std::vector<rock::StratumSummary, std::allocator<rock::StratumSummary> >&) 
  0.52     50.12     0.43 403704000     0.00     0.00  rock::MineralStore::mass() 
  0.52     50.55     0.43 57609276     0.00     0.00  vec2 glm::operator+<float, (glm::qualifier)0>(vec2 &, vec2 &)
  0.52     50.98     0.42 373110321     0.00     0.00  vec2::vec(float, float)
  0.50     51.39     0.41 300251549     0.00     0.00  float glm::dot<3, float, (glm::qualifier)0>(vec3 &, vec3 &)
  0.50     51.80     0.41 59086966     0.00     0.00  vec2 glm::operator*<float, (glm::qualifier)0>(vec2 &, vec2 &)
