Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.18     15.03    15.03 144007200     0.00     0.00  Projection::grid_id
 16.23     19.89     4.86     8001     0.61     0.61  CrustSummarization
 12.85     23.74     3.85 581066130     0.00     0.00  cartesian_from_zlon
 12.55     27.50     3.76    16000     0.23     1.48  iterated::Index
  3.57     28.57     1.07                             main
  1.50     29.02     0.45 577064252     0.00     0.00  glm::min(int,int)
  1.00     29.32     0.30 289049852     0.00     0.00  int glm::max<int>(int, int)
  0.60     29.50     0.18 290390400     0.00     0.00  float glm::max<float>(float, float)
  0.53     29.66     0.16                             _init
  0.37     29.77     0.11 290390400     0.00     0.00  glm::min(float,float)
  0.13     29.81     0.04  2673000     0.00     0.00  std::floor(float)
  0.10     29.84     0.03   297000     0.00     0.00  Grid::arrow_dual_length 
  0.10     29.87     0.03     1001     0.03     0.03  auto aggregated::Order<adapted::SymbolicOrder>::min<std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > >(std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > &) 
  0.07     29.89     0.02  1588500     0.00     0.00  Voronoi::sphere_position 
  0.07     29.91     0.02    99000     0.00     0.00  ValueNoise
  0.03     29.92     0.01  2376000     0.00     0.00  glm::abs(int)
  0.03     29.93     0.01   369226     0.00     0.00  Projection::standardize
  0.03     29.94     0.01        1    10.00    82.67  FormationGeneration 
  0.03     29.95     0.01                             std::_Function_handler<si::units<-1, 0, 0, 0, 0, 0, 0, double> (si::units<-1, 0, 0, 0, 0, 0, 0, double>), relation::GenericRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double> >::GenericRelation<relation::PolynomialRailyardRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double>, 0, 3> >(relation::PolynomialRailyardRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double>, 0, 3> &)::{lambda(si::units<-1, 0, 0, 0, 0, 0, 0, double>)#1}>::_M_invoke(std::_Any_data &, si::units<-1, 0, 0, 0, 0, 0, 0, double>&&)
  0.00     29.95     0.00   738452     0.00     0.00  glm::abs(float)
  0.00     29.95     0.00   288000     0.00     0.00  std::_Bit_const_iterator::operator[](long) 
  0.00     29.95     0.00   144000     0.00     0.00  dymaxion::Squares<int, float, (glm::qualifier)0>::westmost(int) 
  0.00     29.95     0.00   144000     0.00     0.00  std::_Bit_iterator::operator[](long) 
  0.00     29.95     0.00   132303     0.00     0.00  glm::normalize(vec3)
  0.00     29.95     0.00    81000     0.00     0.00  glm::length(vec3)
  0.00     29.95     0.00    81000     0.00     0.00  Indexing::grid_id 
  0.00     29.95     0.00    72000     0.00     0.00  glm::cross(vec3)
  0.00     29.95     0.00    72000     0.00     0.00  mat3 multiplication
  0.00     29.95     0.00    72000     0.00     0.00  math::modulus(int,int)
  0.00     29.95     0.00    36226     0.00     0.00  Indexing::memory_id
  0.00     29.95     0.00    27000     0.00     0.00  VertexDownsamplingIds
  0.00     29.95     0.00    18000     0.00     0.00  rock::MineralStore::pack(rock::Mineral &)
  0.00     29.95     0.00    12004     0.00     0.00  glm::rotate
  0.00     29.95     0.00    11250     0.00     0.00  Grid::vertex_dual_area 
  0.00     29.95     0.00     9000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
  0.00     29.95     0.00     9000     0.00     0.00  rock::StratumForAreaAndElevation<relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<0, 0, 1, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<-2, 1, 0, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, double, 0, 1> >(si::units<2, 0, 0, 0, 0, 0, 0, double>, si::units<1, 0, 0, 0, 0, 0, 0, double>) 
  0.00     29.95     0.00     8006     0.00     0.00  std::_Vector_base<vec3, std::allocator<vec3 > >::~_Vector_base()
  0.00     29.95     0.00     8001     0.00     0.00  bool iterated::compatible<std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > >, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> >, std::vector<float, std::allocator<float> > >(std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > &, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> > &, std::vector<float, std::allocator<float> >&)
  0.00     29.95     0.00     8001     0.00     0.00  std::vector<vec3, std::allocator<vec3 > >::vector(std::vector<vec3, std::allocator<vec3 > > &)
  0.00     29.95     0.00     8000     0.00     0.00  void view::ColorscaleSurfaceShaderProgram::draw<float>(std::vector<vec3, std::allocator<vec3 > > &, std::vector<float, std::allocator<float> > &, std::vector<float, std::allocator<float> > &, std::vector<float, std::allocator<float> > &, std::vector<std::byte, std::allocator<std::byte> > &, std::vector<unsigned int, std::allocator<unsigned int> > &, view::ColorscaleSurfacesViewState &, mat4, view::ViewState &, unsigned int)
  0.00     29.95     0.00     8000     0.00     0.00  bool iterated::compatible<std::vector<rock::StratumSummary, std::allocator<rock::StratumSummary> >, std::vector<si::units<1, 0, 0, 0, 0, 0, 0, float>, std::allocator<si::units<1, 0, 0, 0, 0, 0, 0, float> > > >(std::vector<rock::StratumSummary, std::allocator<rock::StratumSummary> > &, std::vector<si::units<1, 0, 0, 0, 0, 0, 0, float>, std::allocator<si::units<1, 0, 0, 0, 0, 0, 0, float> > >&)
  0.00     29.95     0.00     7200     0.00     0.00  dymaxion::Grid<int, float, (glm::qualifier)0>::vertex_frame(int, vec3) 
  0.00     29.95     0.00     4004     0.00     0.00  mat4 glm::operator*<float, (glm::qualifier)0>(mat4 &, mat4 &)
  0.00     29.95     0.00     3341     0.00     0.00  void unlayered::NeighborBasedFloodFilling<int, float, rock::CrustIsUnfractured<float, (glm::qualifier)0>, rock::CrustDistancePriority<float, (glm::qualifier)0> >::advance<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<vec3, std::allocator<vec3 > >, std::vector<bool, std::allocator<bool> > >(dymaxion::GridCache<int, float, (glm::qualifier)0> &, std::vector<vec3, std::allocator<vec3 > > &, std::vector<bool, std::allocator<bool> >&, unlayered::FloodFillState<int, float>&) 
  0.00     29.95     0.00     2133     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> >)
