Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.17     20.03    20.03 576007200     0.00     0.00  dymaxion::Projection<signed char, int, float, (glm::qualifier)0>::grid_id(vec3) 
 28.27     37.10    17.07     8001     2.13     2.13  void rock::CrustSummarization<2, 5, rock::FormationSummarization<rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > > >, rock::CrustSummaryOps><dymaxion::GridCache<signed char, int, float, (glm::qualifier)0> >(dymaxion::GridCache<signed char, int, float, (glm::qualifier)0> &, int, std::array<std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > >, 5ul> &, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&, std::vector<rock::StratumSummary, std::allocator<rock::StratumSummary> >&) 
 27.21     53.53    16.43    16000     1.03     2.42  void iterated::Index<std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >, procedural::Map<field::Compose<dymaxion::NearestVertexId<signed char, int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > >, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > >(std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > &, procedural::Map<field::Compose<dymaxion::NearestVertexId<signed char, int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > > &, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&) 
  6.03     57.17     3.64                             main
  2.49     58.67     1.50 2308167596     0.00     0.00  signed char glm::min<signed char>(signed char, signed char)
  1.36     59.49     0.82 1156153196     0.00     0.00  signed char glm::max<signed char>(signed char, signed char)
  0.35     59.70     0.21                             _init
  0.31     59.90     0.19   396000     0.00     0.00  ValueNoise
  0.26     60.05     0.15                             std::_Function_handler<si::units<-1, 0, 0, 0, 0, 0, 0, double> (si::units<-1, 0, 0, 0, 0, 0, 0, double>), relation::GenericRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double> >::GenericRelation<relation::PolynomialRailyardRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double>, 0, 3> >(relation::PolynomialRailyardRelation<si::units<-1, 0, 0, 0, 0, 0, 0, double>, si::units<-1, 0, 0, 0, 0, 0, 0, double>, 0, 3> &)::{lambda(si::units<-1, 0, 0, 0, 0, 0, 0, double>)#1}>::_M_invoke(std::_Any_data &, si::units<-1, 0, 0, 0, 0, 0, 0, double>&&)
  0.10     60.11     0.06  3940180     0.00     0.00  dymaxion::Voronoi<signed char, int, float, (glm::qualifier)0>::sphere_position(dymaxion::Point<int, signed char, (glm::qualifier)0> &) 
