Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 46.48     66.31    66.31 576007200     0.00     0.00  Projection::grid_id
 14.24     86.62    20.31     8001     2.54     2.54  CrustSummarization
 13.96    106.53    19.91                             main
 13.60    125.93    19.40 2900114688     0.00     0.00  cartesian_from_zlon
  5.43    133.67     7.74 1152230332     0.00     0.00  glm::normalize(vec3)
  1.51    135.82     2.15 288000000     0.00     0.00  mat3 multiplication
  1.29    137.66     1.84 2308168028     0.00     0.00  glm::min(int,int)
  0.60    138.52     0.86                             _init
  0.56    139.32     0.80 1156153628     0.00     0.00  int glm::max<int>(int, int)
  0.53    140.08     0.76 288000000     0.00     0.00  dymaxion::Indexing<int, float, (glm::qualifier)0>::memory_id_when_standard(dymaxion::Point<int, int, (glm::qualifier)0>) 
  0.51    140.81     0.72 1161518400     0.00     0.00  float glm::max<float>(float, float)
  0.51    141.53     0.72 1161518400     0.00     0.00  glm::min(float,float)
  0.15    141.75     0.22  6692896     0.00     0.00  Projection::sphere_position 
  0.13    141.94     0.19    12004     0.02     0.02  glm::rotate
  0.11    142.09     0.15   396000     0.00     0.00  ValueNoise
  0.10    142.23     0.14       10    14.00    14.54  SquareBuffers::storeTriangleStrips 
  0.06    142.31     0.08 10692000     0.00     0.00  std::floor(float)
  0.05    142.38     0.07  1188000     0.00     0.00  Grid::arrow_dual_length 
  0.04    142.44     0.06     1001     0.06     0.06  auto aggregated::Order<adapted::SymbolicOrder>::min<std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > >(std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > &) 
  0.04    142.50     0.06        8     7.50    59.62  VectorCalculusByFundamentalTheorem::gradient(bools)
  0.04    142.55     0.05  1475614     0.00     0.00  Projection::standardize
  0.02    142.58     0.03     1001     0.03     0.03  aggregated::Order max
  0.01    142.60     0.02        3     6.67     6.67  CrustSummary constructor
  0.01    142.61     0.01  9504000     0.00     0.00  glm::abs(int)
  0.01    142.62     0.01   576000     0.00     0.00  std::_Bit_iterator::operator[](long) 
  0.01    142.63     0.01   288000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.01    142.64     0.01       45     0.22     0.22  Crust constructor 1
  0.01    142.65     0.01        1    10.00    15.14  CrustFracturing::fractureconst
  0.00    142.65     0.00  2951228     0.00     0.00  glm::abs(float)
  0.00    142.65     0.00  1152000     0.00     0.00  std::_Bit_const_iterator::operator[](long) 
  0.00    142.65     0.00   332000     0.00     0.00  glm::length(vec3)
  0.00    142.65     0.00   324000     0.00     0.00  Indexing::grid_id 
  0.00    142.65     0.00   288000     0.00     0.00  glm::cross(vec3)
  0.00    142.65     0.00   143614     0.00     0.00  Indexing::memory_id
  0.00    142.65     0.00   108000     0.00     0.00  VertexDownsamplingIds
  0.00    142.65     0.00    72000     0.00     0.00  rock::MineralStore::pack(rock::Mineral &)
  0.00    142.65     0.00    45528     0.00     0.00  Voronoi::sphere_position 
  0.00    142.65     0.00    45000     0.00     0.00  Grid::vertex_dual_area 
  0.00    142.65     0.00    36000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
