		frames								
frame_count	vertices_per_fine_square_side	localize	scalar	flags	tag	O0	O1	O2	O3	
100	30	single CrustSummary	float	-pg	c1A	15.2	1.66	1.34	1.11	contents of O* columns are
100	60	single CrustSummary	float	-pg	c2A	63.0	6.43	5.45	4.66	runtime reported in seconds
100	120	single CrustSummary	float	-pg	c4A		25.5	21.0	18.7	for that optimization level
1000	30	single CrustSummary	float	-pg	k1A		14.2	12.1	11.0	all runs branch from commit 150ae9
1000	30	multiple rasters	float	-pg	k1B		19.4	15.8	13.9	
1000	60	single CrustSummary	float	-pg	k2A		60.5	50.3	44.1	
1000	60	single CrustSummary	float	-pg -sse3	k2Ab		60.39	49.8	45.1	
1000	60	single CrustSummary	float	-pg -sse3 -march=native	k2Ac		76.0	44.0	44.6	
1000	60	single CrustSummary	float	-pg -march=native	k2Ad		76.6	43.4	44.8	
1000	60	multiple rasters	float	-pg	k2B		77.1	64.6	55.6	
1000	60	multiple rasters	uint8	-pg	k2B8		77.5	64.9	56.1	
1000	60	single CrustSummary	double	-pg	k2C		53.0	45.7	43.8	
1000	60	single CrustSummary	double	-sse3 -march=native	k2Cc		84.0	52.2	45.6	
